Path: GET:http://cloud-kong-main:8000/iam/api/health -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/health, count=671)
Path: GET:http://cloud-kong-main:8000/iam/api/resource_rules/info -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/resource_rules/info, count=17924)
Path: POST:http://cloud-kong-main:8000/iam/internal/api/checklists -> RequestData(requestType=POST, serviceName=IAM, path=http://cloud-kong-main:8000/iam/internal/api/checklists, count=336)
Path: GET:http://cloud-kong-main:8000/iam/api/resource_types -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/resource_types, count=16)
Path: POST:https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts/.../api_keys -> RequestData(requestType=POST, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts/.../api_keys, count=562)
Path: GET:http://cloud-kong-main:8000/iam/internal/api/policies -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/internal/api/policies, count=21)
Path: GET:http://cloud-kong-main:8000/iam/api/folders/...policy -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/folders/...policy, count=112)
Path: GET:http://cloud-kong-main:8000/iam/api/organizations/vtb/groups/...memberships -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/organizations/vtb/groups/...memberships, count=224)
Path: GET:http://cloud-kong-main:8000/iam/api/users/cloud_order-service -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/users/cloud_order-service, count=55)
Path: GET:https://api.cloud.vtb.ru:8443/iam/admin/api/users -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/admin/api/users, count=117)
Path: GET:https://api.cloud.vtb.ru:8443/iam/api/folders/...policy -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/folders/...policy, count=505)
Path: GET:https://api.cloud.vtb.ru:8443/iam/api/roles/get-available-roles -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/roles/get-available-roles, count=1396)
Path: GET:https://api.cloud.vtb.ru:8443/iam/admin/api/users/... -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/admin/api/users/..., count=24)
Path: POST:https://api.cloud.vtb.ru:8443/iam/api/permissions/test -> RequestData(requestType=POST, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/permissions/test, count=1392764)
Path: GET:http://cloud-kong-main:8000/iam/admin/api/policies -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/admin/api/policies, count=92343)
Path: POST:https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts -> RequestData(requestType=POST, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts, count=561)
Path: GET:http://cloud-kong-main:8000/iam/api/users/cloud_rpc-http-manager -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/users/cloud_rpc-http-manager, count=279)
Path: GET:https://api.cloud.vtb.ru:8443/iam/api/organizations/vtb/search-members -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/organizations/vtb/search-members, count=2303)
Path: GET:https://api.cloud.vtb.ru:8443/iam/admin/api/users/.../cloud_members -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/admin/api/users/.../cloud_members, count=24)
Path: GET:http://cloud-kong-main:8000/iam/api/organizations/vtb/groups -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/organizations/vtb/groups, count=378)
Path: GET:https://api.cloud.vtb.ru:8443/iam/admin/api/users/.../members -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/admin/api/users/.../members, count=18)
Path: GET:https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts, count=6725)
Path: GET:http://cloud-kong-main:8000/iam/api/organizations/vtb/users/search -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/organizations/vtb/users/search, count=1805)
Path: GET:http://cloud-kong-main:8000/iam/admin/api/service_accounts -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/admin/api/service_accounts, count=51290)
Path: POST:http://cloud-kong-main:8000/iam/internal/api/policies/disable -> RequestData(requestType=POST, serviceName=IAM, path=http://cloud-kong-main:8000/iam/internal/api/policies/disable, count=181)
Path: POST:http://cloud-kong-main:8000/iam/admin/api/permissions/evaluate -> RequestData(requestType=POST, serviceName=IAM, path=http://cloud-kong-main:8000/iam/admin/api/permissions/evaluate, count=83)
Path: GET:http://cloud-kong-main:8000/iam/api/users/... -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/users/..., count=7391)
Path: GET:http://cloud-kong-main:8000/iam/admin/api/users -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/admin/api/users, count=72813)
Path: GET:http://cloud-kong-main:8000/iam/api/internal/policies -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/internal/policies, count=166826)
Path: GET:http://cloud-kong-main:8000/iam/api/projects/.../policy -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/projects/.../policy, count=1841)
Path: DELETE:https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts/.../api_keys/... -> RequestData(requestType=DELETE, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts/.../api_keys/..., count=524)
Path: DELETE:http://cloud-kong-main:8000/iam/internal/api/policies -> RequestData(requestType=DELETE, serviceName=IAM, path=http://cloud-kong-main:8000/iam/internal/api/policies, count=2318)
Path: GET:http://cloud-kong-main:8000/iam/internal/api/checklists -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/internal/api/checklists, count=5727)
Path: DELETE:https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts/... -> RequestData(requestType=DELETE, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts/..., count=525)
Path: GET:https://api.cloud.vtb.ru:8443/iam/api/projects/.../policy -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/projects/.../policy, count=5917)
Path: PUT:http://cloud-kong-main:8000/iam/internal/api/policies/resource-manager... -> RequestData(requestType=PUT, serviceName=IAM, path=http://cloud-kong-main:8000/iam/internal/api/policies/resource-manager..., count=1826)
Path: GET:http://cloud-kong-main:8000/iam/admin/api/users/.../members -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/admin/api/users/.../members, count=11782)
Path: GET:https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts/... -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/projects/.../service_accounts/..., count=3188)
Path: POST:http://cloud-kong-main:8000/iam/internal/api/policies -> RequestData(requestType=POST, serviceName=IAM, path=http://cloud-kong-main:8000/iam/internal/api/policies, count=2761)
Path: POST:http://cloud-kong-main:8000/iam/api/permissions/test -> RequestData(requestType=POST, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/permissions/test, count=5106)
Path: GET:http://cloud-kong-main:8000/iam/api/organizations/vtb/policy/subject-projects -> RequestData(requestType=GET, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/organizations/vtb/policy/subject-projects, count=1373)
Path: GET:https://api.cloud.vtb.ru:8443/iam/admin/api/users/search -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/admin/api/users/search, count=21)
Path: GET:https://api.cloud.vtb.ru:8443/iam/api/folders/...users -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/folders/...users, count=32)
Path: POST:http://cloud-kong-main:8000/iam/api/organizations/vtb/policy/subject-descendants -> RequestData(requestType=POST, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/organizations/vtb/policy/subject-descendants, count=646)
Path: POST:http://cloud-kong-main:8000/iam/api/organizations/vtb/groups/...add-memberships -> RequestData(requestType=POST, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/organizations/vtb/groups/...add-memberships, count=38)
Path: GET:https://api.cloud.vtb.ru:8443/iam/api/organizations/vtb/roles -> RequestData(requestType=GET, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/organizations/vtb/roles, count=2110)
Path: POST:http://cloud-kong-main:8000/iam/api/organizations/vtb/groups/...remove-memberships -> RequestData(requestType=POST, serviceName=IAM, path=http://cloud-kong-main:8000/iam/api/organizations/vtb/groups/...remove-memberships, count=36)
Path: POST:https://api.cloud.vtb.ru:8443/iam/api/permissions/test_orgstructure_management -> RequestData(requestType=POST, serviceName=IAM, path=https://api.cloud.vtb.ru:8443/iam/api/permissions/test_orgstructure_management, count=290526)
