"payload.kong_service.name.keyword: Descending","payload.request.method.keyword: Descending","payload.request.url.keyword: Descending",Count
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-n7268jfqex/inventories/filter/",4613054
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-acvl7t0lqw/inventories/filter/",265074
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-8mpml052sh/inventories/filter/",263608
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-gwb1vew0f9/inventories/filter/",59900
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-t88tw7mok2qcgwf/inventories/filter/",20354
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-p9w20ad5vhwm94l/inventories/filter/",18701
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-zpspc1q57farady/inventories/filter/",18689
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-nh8ri0gsjsbchm6/inventories/filter/",14537
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v1/projects/proj-gwb1vew0f9/inventories/",13521
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-ij5gblgbxp/inventories/filter/",11916
TagsService,POST,"https://api.cloud.vtb.ru:8443/tags-service/api/v1/projects/proj-gwb1vew0f9/inventories/",10485
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-bfbyls48kp8lvqm/inventories/filter/",10479
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-bs15o1ft8zxsy9q/inventories/filter/",9317
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/projects/proj-zpa3ixmhgaxocas/inventories/filter/",9275
TagsService,POST,"http://cloud-kong-main:8000/tags-service/api/v2/organizations/vtb/inventories/filter/",9070
TagsService,GET,"https://api.cloud.vtb.ru:8443/tags-service/api/v2/lists/is_code/",7556
